City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
92,Saskylakh,71.92,114.08,42.39,86,100,10.04,RU,2020-09-05 15:10:09
93,Zyryanka,65.75,150.85,45.37,70,0,5.06,RU,2020-09-05 15:14:23
94,Paracuru,-3.41,-39.03,79.0,65,0,25.01,BR,2020-09-05 15:14:23
95,Fortuna,40.6,-124.16,53.01,100,1,8.05,US,2020-09-05 15:11:19
96,Gushikawa,26.35,127.87,78.8,94,40,26.4,JP,2020-09-05 15:14:25
97,Tutoia,-2.76,-42.27,89.11,49,39,13.4,BR,2020-09-05 15:14:26
98,Qaanaaq,77.48,-69.36,28.0,81,1,5.84,GL,2020-09-05 15:10:33
99,Fengzhen,40.44,113.15,63.88,43,35,4.9,CN,2020-09-05 15:14:27
100,Puerto Boyaca,5.98,-74.59,84.92,67,73,3.6,CO,2020-09-05 15:12:33
101,Nanortalik,60.14,-45.24,47.95,89,100,15.17,GL,2020-09-05 15:14:27
102,Jurm,36.86,70.83,65.08,27,0,3.04,AF,2020-09-05 15:14:28
103,Longyearbyen,78.22,15.64,44.6,93,75,1.12,SJ,2020-09-05 15:14:28
104,Kaset Sombun,16.28,101.95,79.47,81,97,3.58,TH,2020-09-05 15:14:28
105,Saint George,37.1,-113.58,78.8,10,1,3.36,US,2020-09-05 15:14:29
106,Wairoa,-39.03,177.37,46.99,90,76,1.99,NZ,2020-09-05 15:14:29
107,Constitucion,-35.33,-72.42,52.88,78,99,10.29,CL,2020-09-05 15:09:45
108,Airai,-8.93,125.41,56.71,66,82,3.44,TL,2020-09-05 15:14:30
109,Roald,62.58,6.13,57.0,76,75,14.99,NO,2020-09-05 15:09:57
110,Ocean City,39.28,-74.57,77.0,44,1,10.29,US,2020-09-05 15:14:30
111,Novobelokatay,55.71,58.95,49.26,88,8,4.68,RU,2020-09-05 15:14:31
112,Teya,60.38,92.63,42.62,89,90,4.43,RU,2020-09-05 15:14:31
113,Tiksi,71.69,128.87,46.02,95,100,6.04,RU,2020-09-05 15:10:09
114,Upernavik,72.79,-56.15,35.06,78,24,13.22,GL,2020-09-05 15:10:01
115,Beidao,34.57,105.89,62.28,78,91,2.01,CN,2020-09-05 15:14:31
116,Amapa,1.0,-52.0,92.08,44,42,4.97,BR,2020-09-05 15:14:32
117,Ilulissat,69.22,-51.1,39.2,80,75,8.05,GL,2020-09-05 15:14:32
118,Sitka,57.05,-135.33,46.4,93,75,3.36,US,2020-09-05 15:11:09
119,Teahupoo,-17.83,-149.27,75.2,83,75,5.82,PF,2020-09-05 15:14:32
120,Doha,25.29,51.53,100.4,31,0,6.93,QA,2020-09-05 15:12:49
121,Redding,40.59,-122.39,77.0,64,90,3.94,US,2020-09-05 15:10:48
122,Garissa,-0.45,39.64,86.0,43,22,21.0,KE,2020-09-05 15:14:33
123,Kutum,14.2,24.67,86.36,30,36,10.16,SD,2020-09-05 15:14:33
124,Namie,37.48,141.0,77.0,89,8,3.33,JP,2020-09-05 15:14:34
125,Ust-Kuyga,70.02,135.6,42.55,88,66,0.92,RU,2020-09-05 15:14:34
126,Saint-Philippe,-21.36,55.77,71.6,77,75,16.11,RE,2020-09-05 15:14:34
127,Sieut,46.98,24.65,78.8,41,1,6.93,RO,2020-09-05 15:14:35
128,Dakoro,14.51,6.76,95.2,32,99,2.39,NE,2020-09-05 15:14:35
129,Cutervo,-6.38,-78.82,60.93,70,42,7.36,PE,2020-09-05 15:14:35
130,Nkhotakota,-12.93,34.3,75.45,43,0,10.04,MW,2020-09-05 15:14:36
131,Owando,-0.48,15.9,86.61,56,100,4.83,CG,2020-09-05 15:12:48
132,Mahebourg,-20.41,57.7,69.8,83,40,12.75,MU,2020-09-05 15:10:56
133,Kajaani,64.23,27.73,60.8,77,23,9.17,FI,2020-09-05 15:14:36
134,Hirtshals,57.59,9.96,60.01,66,10,7.0,DK,2020-09-05 15:14:36
135,Katsuura,35.13,140.3,80.6,88,75,10.29,JP,2020-09-05 15:14:37
136,Lagoa,39.05,-27.98,69.22,72,100,20.74,PT,2020-09-05 15:14:37
137,Perehonivka,48.54,30.52,73.0,50,74,13.53,UA,2020-09-05 15:14:37
138,Maumere,-8.62,122.21,76.78,81,73,4.72,ID,2020-09-05 15:10:45
139,Turukhansk,65.82,87.98,51.48,78,100,13.62,RU,2020-09-05 15:10:09
140,Tuktoyaktuk,69.45,-133.04,37.4,86,90,10.29,CA,2020-09-05 15:14:38
141,Tabuk,17.42,121.44,75.0,89,56,2.73,PH,2020-09-05 15:14:38
142,Mount Gambier,-37.83,140.77,41.0,100,0,3.36,AU,2020-09-05 15:10:42
143,Yerbogachen,61.28,108.01,56.82,83,43,8.93,RU,2020-09-05 15:10:10
144,Chapadinha,-3.74,-43.36,94.98,35,53,5.79,BR,2020-09-05 15:14:39
145,Geraldton,-28.77,114.6,53.6,93,75,8.05,AU,2020-09-05 15:14:39
146,Chuy,-33.7,-53.46,57.65,67,2,9.19,UY,2020-09-05 15:14:39
147,Nome,64.5,-165.41,37.4,93,40,3.36,US,2020-09-05 15:10:31
148,San Cristobal,7.77,-72.22,84.2,70,20,2.24,VE,2020-09-05 15:14:40
149,Pangnirtung,66.15,-65.71,46.4,49,20,4.7,CA,2020-09-05 15:10:37
150,Qinhuangdao,39.93,119.59,68.36,84,0,3.49,CN,2020-09-05 15:14:40
151,Sanming,26.25,117.62,72.28,80,0,1.45,CN,2020-09-05 15:14:40
152,Victoria,22.29,114.16,84.0,86,36,5.01,HK,2020-09-05 15:12:55
153,East London,-33.02,27.91,59.0,87,75,12.75,ZA,2020-09-05 15:14:41
154,Vardo,70.37,31.11,59.0,77,75,5.82,NO,2020-09-05 15:14:41
155,Arraial Do Cabo,-22.97,-42.03,80.6,78,20,14.99,BR,2020-09-05 15:14:42
156,Sai Buri,6.7,101.62,80.94,80,30,4.12,TH,2020-09-05 15:14:42
157,Cherskiy,68.75,161.3,37.53,76,0,8.3,RU,2020-09-05 15:10:10
158,Clyde River,70.47,-68.59,35.6,93,75,19.46,CA,2020-09-05 15:10:32
159,Tucurui,-3.77,-49.67,99.28,28,82,5.12,BR,2020-09-05 15:14:43
160,Provideniya,64.38,-173.3,40.78,74,100,4.07,RU,2020-09-05 15:10:10
161,Vila,42.03,-8.16,87.01,39,0,5.01,PT,2020-09-05 15:14:43
162,Portland,45.52,-122.68,61.0,72,90,2.1,US,2020-09-05 15:14:43
163,Galle,6.04,80.22,79.95,85,100,7.56,LK,2020-09-05 15:10:20
164,Saldanha,-33.01,17.94,55.4,82,100,11.41,ZA,2020-09-05 15:14:44
165,Two Hills,53.72,-111.75,60.13,72,99,3.36,CA,2020-09-05 15:14:44
166,Shache,38.42,77.24,66.09,36,29,2.64,CN,2020-09-05 15:14:44
167,Pringsewu,-5.36,104.97,73.35,90,88,5.32,ID,2020-09-05 15:14:45
168,Axim,4.87,-2.24,79.54,72,99,11.45,GH,2020-09-05 15:14:45
169,Kaligutan,7.7,125.81,84.2,79,40,5.82,PH,2020-09-05 15:14:45
170,Chokurdakh,70.63,147.92,41.9,66,100,11.59,RU,2020-09-05 15:14:46
171,Yar-Sale,66.83,70.83,43.77,73,64,7.83,RU,2020-09-05 15:14:46
172,Sovkhoznyy,45.29,38.11,71.6,88,75,2.24,RU,2020-09-05 15:14:46
173,Skelleftea,64.75,20.95,61.0,80,54,3.0,SE,2020-09-05 15:14:47
174,Airdrie,55.87,-3.98,59.0,72,97,5.01,GB,2020-09-05 15:11:15
175,Atar,20.52,-13.05,104.13,22,36,9.01,MR,2020-09-05 15:10:28
176,Kodiak,57.79,-152.41,37.4,93,1,8.05,US,2020-09-05 15:14:48
177,Khani,41.96,42.96,80.6,78,40,12.75,GE,2020-09-05 15:14:48
178,Tchaourou,8.89,2.6,77.07,84,97,9.31,BJ,2020-09-05 15:14:48
179,Nioro,13.35,-15.75,77.54,91,100,7.9,GM,2020-09-05 15:14:48
180,Cap Malheureux,-19.98,57.61,70.0,74,2,5.01,MU,2020-09-05 15:14:49
181,Fare,-16.7,-151.02,77.81,80,30,13.87,PF,2020-09-05 15:14:49
182,Shimoda,34.67,138.95,73.99,95,4,1.99,JP,2020-09-05 15:14:49
183,Ancud,-41.87,-73.82,52.0,84,97,1.01,CL,2020-09-05 15:14:50
184,High Level,58.52,-117.14,46.4,100,75,2.33,CA,2020-09-05 15:14:50
185,Faanui,-16.48,-151.75,77.72,77,67,10.07,PF,2020-09-05 15:10:43
186,Cassilandia,-19.11,-51.73,96.39,12,60,9.62,BR,2020-09-05 15:14:50
187,Carutapera,-1.2,-46.02,87.87,60,34,11.23,BR,2020-09-05 15:14:51
188,Chicama,-7.84,-79.15,70.65,55,16,7.72,PE,2020-09-05 15:14:51
189,Boa Vista,2.82,-60.67,91.4,55,40,13.87,BR,2020-09-05 15:14:51
190,Lata,40.16,-8.33,91.0,45,0,11.63,PT,2020-09-05 15:14:51
191,Bandar-E Lengeh,26.56,54.88,96.8,50,0,9.17,IR,2020-09-05 15:10:18
192,Iqaluit,63.75,-68.51,50.0,39,20,9.17,CA,2020-09-05 15:10:37
